,name,type,value,date
348,马里,,0.0,1961
349,马耳他,,0.0,1961
350,缅甸,,0.0,1961
351,黑山,,0.0,1961
352,蒙古,,0.0,1961
353,北马里亚纳群岛,,0.0,1961
354,莫桑比克,,0.0,1961
355,毛里塔尼亚,,107726181.2,1961
356,毛里求斯,,0.0,1961
357,马拉维,,174576508.5,1961
358,马来西亚,,1901868548.0,1961
359,纳米比亚,,0.0,1961
360,新喀里多尼亚,,0.0,1961
361,尼日尔,,485785234.9,1961
362,尼日利亚,,4467200336.0,1961
363,尼加拉瓜,,240524723.4,1961
364,荷兰,,13493833740.0,1961
365,挪威,,5632460937.0,1961
366,尼泊尔,,531959561.6,1961
367,瑙魯,,0.0,1961
368,新西兰,,5670064168.0,1961
369,阿曼,,0.0,1961
370,巴基斯坦,,4054599181.0,1961
371,巴拿马,,599026300.0,1961
372,秘鲁,,2899654840.0,1961
373,菲律宾,,7256966966.0,1961
374,帕劳,,0.0,1961
375,巴布亚新几内亚,,244832035.0,1961
376,波兰,,0.0,1961
377,波多黎各,,1865100000.0,1961
378,朝鲜民主主义人民共和国,,0.0,1961
379,葡萄牙,,3417516639.0,1961
380,巴拉圭,,0.0,1961
381,约旦河西岸和加沙,,0.0,1961
382,法属波利尼西亚,,0.0,1961
383,卡塔尔,,0.0,1961
384,罗马尼亚,,0.0,1961
385,俄罗斯联邦,,0.0,1961
386,卢旺达,,122000016.0,1961
387,南亚,,49749767835.0,1961
388,沙特阿拉伯,,0.0,1961
389,苏丹,,1419333333.0,1961
390,塞内加尔,,1058975266.0,1961
391,新加坡,,764308114.5,1961
392,所罗门群岛,,0.0,1961
393,塞拉利昂,,327834680.6,1961
394,萨尔瓦多,,0.0,1961
395,圣马力诺,,0.0,1961
396,索马里,,0.0,1961
397,塞尔维亚,,0.0,1961
398,南苏丹,,0.0,1961
399,圣多美和普林西比,,0.0,1961
400,苏里南,,107700000.0,1961
401,斯洛伐克共和国,,0.0,1961
402,斯洛文尼亚,,0.0,1961
403,瑞典,,16147160123.0,1961
404,斯威士兰,,43025199.5,1961
405,圣马丁(荷属),,0.0,1961
406,塞舌尔,,11592024.36,1961
407,阿拉伯叙利亚共和国,,945244992.2,1961
408,特克斯科斯群岛,,0.0,1961
409,乍得,,333975336.6,1961
410,多哥,,126396469.7,1961
411,泰国,,3034043574.0,1961
412,塔吉克斯坦,,0.0,1961
413,土库曼斯坦,,0.0,1961
414,东帝汶,,0.0,1961
415,汤加,,0.0,1961
416,特立尼达和多巴哥,,584961208.7,1961
417,突尼斯,,0.0,1961
418,土耳其,,8022222222.0,1961
419,图瓦卢,,0.0,1961
420,坦桑尼亚,,0.0,1961
421,乌干达,,441524109.0,1961
422,乌克兰,,0.0,1961
423,乌拉圭,,1547388781.0,1961
424,美国,,563000000000.0,1961
425,乌兹别克斯坦,,0.0,1961
426,圣文森特和格林纳丁斯,,13999883.33,1961
427,委内瑞拉玻利瓦尔共和国,,8189090909.0,1961
428,英屬維爾京群島,,0.0,1961
429,美属维京群岛,,25700000.0,1961
430,越南,,0.0,1961
431,瓦努阿图,,0.0,1961
432,萨摩亚,,0.0,1961
433,科索沃,,0.0,1961
434,也门共和国,,0.0,1961
435,南非,,7972840543.0,1961
436,赞比亚,,696285714.3,1961
437,津巴布韦,,1096646600.0,1961
438,阿鲁巴,,0.0,1962
439,阿富汗,,546666677.8,1962
440,安哥拉,,0.0,1962
441,阿尔巴尼亚,,0.0,1962
442,安道尔共和国,,0.0,1962
443,阿拉伯联合酋长国,,0.0,1962
444,阿根廷,,24450604878.0,1962
445,亚美尼亚,,0.0,1962
446,美属萨摩亚,,0.0,1962
447,安提瓜和巴布达,,0.0,1962
448,澳大利亚,,19888005376.0,1962
449,奥地利,,7756110210.0,1962
450,阿塞拜疆,,0.0,1962
451,布隆迪,,213500006.0,1962
452,比利时,,13264015675.0,1962
453,贝宁,,236434906.8,1962
454,布基纳法索,,379567178.3,1962
455,孟加拉国,,5081413340.0,1962
456,保加利亚,,0.0,1962
457,巴林,,0.0,1962
458,巴哈马,,212254902.0,1962
459,波斯尼亚和黑塞哥维那,,0.0,1962
460,白俄罗斯,,0.0,1962
461,伯利兹,,31856922.86,1962
462,百慕大,,94149985.97,1962
463,玻利维亚,,444665186.4,1962
464,巴西,,19926293839.0,1962
465,巴巴多斯,,0.0,1962
466,文莱达鲁萨兰国,,0.0,1962
467,不丹,,0.0,1962
